,B_COUNTRY,StateNme
988,400,Jordan
989,400,Jordan
990,400,Jordan
991,400,Jordan
992,400,Jordan
993,400,Jordan
994,400,Jordan
995,400,Jordan
996,400,Jordan
997,400,Jordan
998,400,Jordan
999,400,Jordan
1000,400,Jordan
1001,400,Jordan
1002,400,Jordan
1003,400,Jordan
1004,400,Jordan
1005,400,Jordan
1006,400,Jordan
1007,400,Jordan
1008,400,Jordan
1009,400,Jordan
1010,400,Jordan
1011,400,Jordan
1012,400,Jordan
1013,400,Jordan
1014,400,Jordan
1015,400,Jordan
1016,400,Jordan
1017,400,Jordan
1018,400,Jordan
1019,400,Jordan
1020,400,Jordan
1021,400,Jordan
1022,400,Jordan
1023,400,Jordan
1024,400,Jordan
1025,400,Jordan
1026,400,Jordan
1027,400,Jordan
1028,400,Jordan
1029,400,Jordan
1030,400,Jordan
1031,400,Jordan
1032,400,Jordan
1033,400,Jordan
1034,400,Jordan
1035,400,Jordan
1036,400,Jordan
1037,400,Jordan
1038,400,Jordan
1039,400,Jordan
1040,400,Jordan
1041,400,Jordan
1042,400,Jordan
1043,400,Jordan
1044,400,Jordan
1045,400,Jordan
1046,400,Jordan
1047,400,Jordan
1048,400,Jordan
1049,400,Jordan
1050,400,Jordan
1051,400,Jordan
1052,400,Jordan
1053,400,Jordan
1054,400,Jordan
1055,400,Jordan
1056,400,Jordan
1057,400,Jordan
1058,400,Jordan
1059,400,Jordan
1060,400,Jordan
1061,400,Jordan
1062,400,Jordan
1063,400,Jordan
1064,400,Jordan
1065,400,Jordan
1066,400,Jordan
1067,400,Jordan
1068,400,Jordan
1069,400,Jordan
1070,400,Jordan
1071,400,Jordan
1072,400,Jordan
1073,400,Jordan
1074,400,Jordan
1075,400,Jordan
1076,400,Jordan
1077,400,Jordan
1078,400,Jordan
1079,400,Jordan
1080,400,Jordan
1081,400,Jordan
1082,400,Jordan
1083,400,Jordan
1084,400,Jordan
1085,400,Jordan
1086,400,Jordan
1087,400,Jordan
1088,400,Jordan
1089,400,Jordan
1090,400,Jordan
1091,400,Jordan
1092,400,Jordan
1093,400,Jordan
1094,400,Jordan
1095,400,Jordan
1096,400,Jordan
1097,400,Jordan
1098,400,Jordan
1099,400,Jordan
1100,400,Jordan
1101,400,Jordan
1102,400,Jordan
1103,400,Jordan
1104,400,Jordan
1105,400,Jordan
1106,400,Jordan
1107,400,Jordan
1108,400,Jordan
1109,400,Jordan
1110,400,Jordan
1111,400,Jordan
1112,400,Jordan
1113,400,Jordan
1114,400,Jordan
1115,400,Jordan
1116,400,Jordan
1117,400,Jordan
1118,400,Jordan
1119,400,Jordan
1120,400,Jordan
1121,400,Jordan
1122,400,Jordan
1123,400,Jordan
1124,400,Jordan
1125,400,Jordan
1126,400,Jordan
1127,400,Jordan
1128,400,Jordan
1129,400,Jordan
1130,400,Jordan
1131,400,Jordan
1132,400,Jordan
1133,400,Jordan
1134,400,Jordan
1135,400,Jordan
1136,400,Jordan
1137,400,Jordan
1138,400,Jordan
1139,400,Jordan
1140,400,Jordan
1141,400,Jordan
1142,400,Jordan
1143,400,Jordan
1144,400,Jordan
1145,400,Jordan
1146,400,Jordan
1147,400,Jordan
1148,400,Jordan
1149,400,Jordan
1150,400,Jordan
1151,400,Jordan
1152,400,Jordan
1153,400,Jordan
1154,400,Jordan
1155,400,Jordan
1156,400,Jordan
1157,400,Jordan
1158,400,Jordan
1159,400,Jordan
1160,400,Jordan
1161,400,Jordan
1162,400,Jordan
1163,400,Jordan
1164,400,Jordan
1165,400,Jordan
1166,400,Jordan
1167,400,Jordan
1168,400,Jordan
1169,400,Jordan
1170,400,Jordan
1171,400,Jordan
1172,400,Jordan
1173,400,Jordan
1174,400,Jordan
1175,400,Jordan
1176,400,Jordan
1177,400,Jordan
1178,400,Jordan
1179,400,Jordan
1180,400,Jordan
1181,400,Jordan
1182,400,Jordan
1183,400,Jordan
