country,rich_west
Mongolia,False
Mongolia,False
Mongolia,False
Mongolia,False
Mongolia,False
Mongolia,False
Mongolia,False
Mongolia,False
Mongolia,False
Mongolia,False
Mongolia,False
Mongolia,False
Mongolia,False
Mongolia,False
Mongolia,False
Mongolia,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Nicaragua,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Morocco,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Venezuela,False
Iraq,False
Iraq,False
Iraq,False
Iraq,False
Iraq,False
Iraq,False
Iraq,False
Iraq,False
Iraq,False
Iraq,False
Iraq,False
Iraq,False
Iraq,False
Iraq,False
Iraq,False
Iraq,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Tajikistan,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Guatemala,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
Malaysia,False
